Tue Aug 29 17:02:38 2023    profile.bin

         22007397 function calls (22007369 primitive calls) in 10.037 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      288    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(sum)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
        1    0.000    0.000   10.037   10.037 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:133(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:136(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:139(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:142(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:145(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:151(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:155(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:158(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:162(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:166(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:169(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:175(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:184(<listcomp>)
        1    0.000    0.000    0.001    0.001 ForthGK_CLASS_new2.py:201(<listcomp>)
        1    0.000    0.000    0.001    0.001 ForthGK_CLASS_new2.py:205(<listcomp>)
        1    0.000    0.000    0.001    0.001 ForthGK_CLASS_new2.py:209(<listcomp>)
        1    0.000    0.000    0.001    0.001 ForthGK_CLASS_new2.py:213(<listcomp>)
        1    0.001    0.001   10.023   10.023 ForthGK_CLASS_new2.py:219(cons_register)
        3    0.004    0.001   10.022    3.341 ForthGK_CLASS_new2.py:318(__init__)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:324(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:328(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:332(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:336(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:340(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:344(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:348(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:352(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:356(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:361(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:365(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:369(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:373(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:377(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:382(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:386(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:390(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:394(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:399(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:403(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:407(<listcomp>)
        3    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:411(<listcomp>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:420(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:424(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:427(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:429(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:433(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:437(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:440(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:441(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:446(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:450(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:452(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:453(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:457(<genexpr>)
       75    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:461(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:464(<genexpr>)
       75    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:465(<genexpr>)
       75    0.000    0.000    0.002    0.000 ForthGK_CLASS_new2.py:468(<genexpr>)
       50    0.001    0.000    0.022    0.000 ForthGK_CLASS_new2.py:501(<genexpr>)
       50    0.001    0.000    0.022    0.000 ForthGK_CLASS_new2.py:513(<genexpr>)
       50    0.001    0.000    0.105    0.002 ForthGK_CLASS_new2.py:525(<genexpr>)
       50    0.001    0.000    0.021    0.000 ForthGK_CLASS_new2.py:538(<genexpr>)
       50    0.000    0.000    0.001    0.000 ForthGK_CLASS_new2.py:550(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:558(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:560(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:562(<genexpr>)
       50    0.000    0.000    0.003    0.000 ForthGK_CLASS_new2.py:564(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:568(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:570(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:572(<genexpr>)
       50    0.000    0.000    0.003    0.000 ForthGK_CLASS_new2.py:574(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:578(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:580(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:582(<genexpr>)
       50    0.000    0.000    0.003    0.000 ForthGK_CLASS_new2.py:584(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:588(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:590(<genexpr>)
       50    0.000    0.000    0.000    0.000 ForthGK_CLASS_new2.py:592(<genexpr>)
       50    0.000    0.000    0.003    0.000 ForthGK_CLASS_new2.py:594(<genexpr>)
        1    0.000    0.000    0.008    0.008 ForthGK_CLASS_new2.py:94(__init__)
      243    0.000    0.000    0.000    0.000 IGES_Math.py:103(<listcomp>)
      243    0.000    0.000    0.000    0.000 IGES_Math.py:104(<listcomp>)
      243    0.002    0.000    0.086    0.000 IGES_Math.py:110(power_related_method)
      243    0.002    0.000    0.013    0.000 IGES_Math.py:112(<listcomp>)
      243    0.230    0.001    9.153    0.038 IGES_Math.py:115(deep_nested_loop)
     2907    0.005    0.000    0.005    0.000 IGES_Math.py:122(<listcomp>)
      242    0.000    0.000    0.002    0.000 IGES_Math.py:125(getxx)
      243    0.007    0.000    9.724    0.040 IGES_Math.py:63(__init__)
      243    0.000    0.000    0.000    0.000 IGES_Math.py:75(<listcomp>)
      243    0.002    0.000    0.316    0.001 IGES_Math.py:95(var_matrix_init)
      243    0.000    0.000    0.000    0.000 IGES_Math.py:97(<listcomp>)
      243    0.000    0.000    0.000    0.000 IGES_Math.py:98(<listcomp>)
       96    0.000    0.000    0.005    0.000 Machine_para_fit2.py:59(get_pk)
      192    0.000    0.000    0.013    0.000 Machine_para_fit2.py:82(get_pwk_without_rate)
        1    0.000    0.000    0.003    0.003 __init__.py:110(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1195(set_results_stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1213(set_warning_stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(set_error_stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(set_log_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:1267(get_version)
        8    0.000    0.000    0.000    0.000 __init__.py:241(_add_stream)
        8    0.000    0.000    0.000    0.000 __init__.py:247(_delete_stream)
        8    0.000    0.000    0.000    0.000 __init__.py:256(_set_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:263(set_results_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:284(set_warning_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:305(set_error_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:326(set_log_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:363(get_version)
   281713    0.132    0.000    0.203    0.000 __init__.py:389(_apienc)
        1    0.000    0.000    0.004    0.004 __init__.py:667(__init__)
        1    0.000    0.000    0.000    0.000 _anno.py:360(__init__)
        1    0.000    0.000    0.000    0.000 _anno.py:86(__init__)
      288    0.000    0.000    0.000    0.000 _asarray.py:14(asarray)
      288    0.000    0.000    0.000    0.000 _asarray.py:86(asanyarray)
      288    0.001    0.000    0.016    0.000 _base.py:217(_decision_function)
      288    0.000    0.000    0.016    0.000 _base.py:224(predict)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      288    0.000    0.000    0.000    0.000 _config.py:14(get_config)
     1497    0.001    0.000    0.001    0.000 _internal.py:827(npy_ctypes_check)
   290988    0.094    0.000    0.160    0.000 _list_array_utils.py:89(double_c_array)
        4    0.000    0.000    0.000    0.000 _ostream.py:148(flush)
        8    0.000    0.000    0.000    0.000 _ostream.py:32(__init__)
        8    0.000    0.000    0.000    0.000 _ostream.py:69(_end)
        4    0.000    0.000    0.000    0.000 _ostream.py:91(__del__)
      174    0.000    0.000    0.003    0.000 _parameter_classes.py:114(__init__)
        1    0.000    0.000    0.000    0.000 _parameter_classes.py:126(_isvalid)
        5    0.000    0.000    0.000    0.000 _parameter_classes.py:157(__init__)
     29/1    0.000    0.000    0.003    0.003 _parameter_classes.py:181(__init__)
        1    0.000    0.000    0.003    0.003 _parameter_classes.py:258(__init__)
        3    0.000    0.000    0.000    0.000 _parameter_classes.py:294(_set)
      178    0.000    0.000    0.002    0.000 _parameter_classes.py:330(_get_info)
      179    0.000    0.000    0.000    0.000 _parameter_classes.py:35(__init__)
        1    0.000    0.000    0.000    0.000 _parameter_classes.py:50(set)
   281714    0.071    0.000    0.071    0.000 _parameter_classes.py:68(get)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:114(mip_limits_members)
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:137(mip_polishafter_members)
